SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
11/13/2020,Each,Vape Product,639269.96,10945,639269.96,0,0,10945,9462
9/4/2020,Each,Concentrate (Each),238298.37,4496,238298.37,0,0,4496,3942
12/16/2021,Milligrams,Concentrate,80,0,0,1000,80,1000,1
5/16/2019,Grams,Shake/Trim,1136.23,0,0,87.5,1136.23,87.5,19
12/20/2022,Grams,Buds,1592745.5,0,0,211747.83,1592745.5,211747.83,36319
8/28/2019,Grams,Concentrate,4029.64,0,0,64.5,4029.64,64.5,62
5/28/2021,Grams,Kief,5200.82,0,0,238.2,5200.82,238.2,165
2/21/2021,Grams,Raw Pre-Rolls,327382.62,0,0,21578.64,327382.62,21578.64,15660
4/26/2021,Each,Infused (edible),350956.06,13258,350956.06,0,0,13258,10545
11/5/2020,Grams,Shake/Trim (by strain),6637.6,0,0,407.75,6637.6,407.75,375
2/9/2023,Each,Immature Plants,120,4,120,0,0,4,2
12/31/2022,Each,Infused (edible),813688.51,40349,813688.51,0,0,40349,31610
8/6/2023,Pounds,Buds,4314.58,0,0,2.47,4314.58,2.47,156
2/12/2022,Grams,Shake/Trim (by strain),41966.46,0,0,5945.95,41966.46,5945.95,1281
2/9/2020,Grams,Buds,792942.21,0,0,54759.03,792942.21,54759.03,18197
3/4/2020,Each,Concentrate (Each),155634.64,2875,155634.64,0,0,2875,2545
12/5/2022,Grams,Kief,2314.98,0,0,121.3,2314.98,121.3,99
3/15/2022,Grams,Concentrate,5312.6,0,0,88.5,5312.6,88.5,87
1/29/2019,Grams,Concentrate,1661,0,0,30.5,1661,30.5,35
12/15/2019,Each,Concentrate (Each),154403.1,3056,154403.1,0,0,3056,2717
10/14/2022,Milligrams,Kief,30,0,0,1000,30,1000,1
2/11/2020,Grams,Raw Pre-Rolls,146039.27,0,0,9437.04,146039.27,9437.04,7366
7/27/2021,Grams,Shake/Trim (by strain),32414.45,0,0,5138.75,32414.45,5138.75,800
6/21/2023,Grams,Concentrate (Bulk),435,0,0,25,435,25,17
7/18/2023,Each,Seeds,140,4,140,0,0,4,1
6/30/2020,Each,Vape Product,372464.47,6245,372464.47,0,0,6245,5293
7/26/2023,Pounds,Buds,15113.74,0,0,8.79,15113.74,8.79,485
7/23/2023,Each,Vape Product,739636.42,20966,739636.42,0,0,20966,18877
10/16/2022,Grams,Concentrate (Bulk),1158.95,0,0,22,1158.95,22,24
1/4/2023,Grams,Concentrate (Bulk),421.72,0,0,32,421.72,32,13
1/20/2020,Grams,Infused Pre-Rolls,11396.12,0,0,429,11396.12,429,552
6/30/2019,Each,Concentrate (Each),437704.07,7953,437704.07,0,0,7953,7112
3/5/2023,Grams,Raw Pre-Rolls,606499.01,0,0,60403,606499.01,60403,37111
10/10/2020,Grams,Infused Pre-Rolls,9929.42,0,0,403.05,9929.42,403.05,357
5/23/2023,Each,Infused Beverage,27351.04,3779,27351.04,0,0,3779,2008
12/21/2022,Milligrams,Infused Pre-Rolls,1183.14,0,0,52800,1183.14,52800,40
11/15/2021,Each,Infused (non-edible),12490.89,339,12490.89,0,0,339,283
3/21/2022,Kilograms,Concentrate,212.5,0,0,0,212.5,0,3
2/16/2021,Each,Infused (non-edible),7211.82,227,7211.82,0,0,227,195
2/17/2022,Grams,Concentrate,4240.94,0,0,63,4240.94,63,68
