UnitOfMeasureName,SaleDate,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
Grams,7/27/2023,Buds,1776,0,0,218,1776,218,40
Each,7/24/2023,Vape Product,1181,30,1181,0,0,30,28
Each,7/30/2023,Concentrate (Each),3680.1,73,3680.1,0,0,73,68
Grams,7/28/2023,Concentrate,50,0,0,1,50,1,1
Each,7/27/2023,Vape Product,411.62,13,411.62,0,0,13,13
Grams,7/25/2023,Raw Pre-Rolls,721.16,0,0,78,721.16,78,66
Grams,7/24/2023,Shake/Trim (by strain),402.13,0,0,101.9,402.13,101.9,23
Grams,7/26/2023,Infused Pre-Rolls,260,0,0,18.95,260,18.95,13
Grams,7/24/2023,Buds,1827.04,0,0,232,1827.04,232,48
Grams,7/28/2023,Kief,30,0,0,1,30,1,1
Grams,7/30/2023,Buds,3964.26,0,0,875.75,3964.26,875.75,158
Grams,7/29/2023,Buds,3128.41,0,0,306.5,3128.41,306.5,58
Grams,7/27/2023,Shake/Trim,215,0,0,49,215,49,4
Each,7/26/2023,Infused (edible),1702.99,77,1702.99,0,0,77,62
Grams,7/25/2023,Buds,5167.48,0,0,1285,5167.48,1285,91
Each,7/28/2023,Infused Beverage,165.4,8,165.4,0,0,8,7
Grams,7/29/2023,Buds,8004.51,0,0,1309,8004.51,1309,194
Each,7/26/2023,Concentrate (Each),2816.35,71,2816.35,0,0,71,61
Each,7/26/2023,Infused (non-edible),63.11,2,63.11,0,0,2,2
Grams,7/24/2023,Shake/Trim (by strain),1164,0,0,296,1164,296,20
Each,7/28/2023,Concentrate (Each),1055,26,1055,0,0,26,23
Grams,7/28/2023,Raw Pre-Rolls,379.9,0,0,49.1,379.9,49.1,32
Grams,7/26/2023,Raw Pre-Rolls,334,0,0,39.5,334,39.5,17
Each,7/24/2023,Infused (edible),1090.51,47,1090.51,0,0,47,42
Each,7/27/2023,Infused (edible),2785,132,2785,0,0,132,113
Grams,7/28/2023,Infused Pre-Rolls,64,0,0,2.6,64,2.6,1
Each,7/24/2023,Infused (edible),875.02,43,875.02,0,0,43,37
Grams,7/27/2023,Buds,1193.53,0,0,175,1193.53,175,26
Grams,7/27/2023,Infused Pre-Rolls,373.5,0,0,19.95,373.5,19.95,16
Each,7/29/2023,Infused Beverage,558,49,558,0,0,49,40
Each,7/25/2023,Infused (edible),1696,64,1696,0,0,64,49
Each,7/24/2023,Infused (edible),557,38,557,0,0,38,30
Grams,7/28/2023,Concentrate,20,0,0,0.5,20,0.5,1
Each,7/24/2023,Vape Product,3728.5,98,3728.5,0,0,98,91
Grams,7/25/2023,Kief,40,0,0,2,40,2,2
Grams,7/29/2023,Raw Pre-Rolls,1554.4,0,0,164.5,1554.4,164.5,74
Each,7/25/2023,Concentrate (Each),6815.56,132,6815.56,0,0,132,110
Grams,7/28/2023,Shake/Trim (by strain),5958.38,0,0,680.5,5958.38,680.5,233
Each,7/30/2023,Infused (non-edible),25,1,25,0,0,1,1
Each,7/29/2023,Vape Product,4780.91,157,4780.91,0,0,157,130
Grams,7/30/2023,Shake/Trim (by strain),798,0,0,287,798,287,15
Grams,7/27/2023,Shake/Trim (by strain),174,0,0,85,174,85,4
Each,7/29/2023,Infused (edible),758.47,33,758.47,0,0,33,28
Grams,7/25/2023,Buds,5244.86,0,0,947.95,5244.86,947.95,162
Grams,7/29/2023,Shake/Trim,238,0,0,49,238,49,7
Each,7/28/2023,Infused (edible),2941.9,164,2941.9,0,0,164,123
Each,7/26/2023,Infused Beverage,200,19,200,0,0,19,10
Each,7/28/2023,Infused Beverage,33.61,7,33.61,0,0,7,4
Grams,7/28/2023,Raw Pre-Rolls,756.25,0,0,63,756.25,63,41
Each,7/24/2023,Vape Product,266,8,266,0,0,8,8
Each,7/28/2023,Vape Product,1421.55,37,1421.55,0,0,37,36
Grams,7/29/2023,Shake/Trim,30,0,0,14,30,14,2
Grams,7/29/2023,Raw Pre-Rolls,89.8,0,0,22,89.8,22,8
Pounds,7/25/2023,Buds,2894.46,0,0,1.57,2894.46,1.57,88
Each,7/27/2023,Infused (edible),5617.49,297,5617.49,0,0,297,243
Grams,7/25/2023,Infused Pre-Rolls,1927.75,0,0,101.5,1927.75,101.5,66
Each,7/25/2023,Infused (edible),4689.24,250,4689.24,0,0,250,188
Each,7/26/2023,Infused (edible),2222,108,2222,0,0,108,90
Each,7/30/2023,Vape Product,1385.02,31,1385.02,0,0,31,28
Grams,7/27/2023,Shake/Trim,335.2,0,0,77,335.2,77,7
Each,7/30/2023,Vape Product,327.75,9,327.75,0,0,9,8
Each,7/25/2023,Vape Product,2255.64,66,2255.64,0,0,66,62
Grams,7/27/2023,Shake/Trim (by strain),640,0,0,224,640,224,8
Each,7/30/2023,Infused (edible),3665.27,143,3665.27,0,0,143,134
Grams,7/26/2023,Kief,30,0,0,1,30,1,1
Grams,7/29/2023,Buds,6434.5,0,0,837.2,6434.5,837.2,199
Grams,7/29/2023,Buds,5382.16,0,0,651.5,5382.16,651.5,147
Each,7/28/2023,Vape Product,5045.5,120,5045.5,0,0,120,117
Each,7/26/2023,Infused (edible),584,31,584,0,0,31,30
Grams,7/28/2023,Buds,11093.05,0,0,2473.5,11093.05,2473.5,255
Each,7/29/2023,Concentrate (Each),268.94,7,268.94,0,0,7,6
Grams,7/28/2023,Kief,128.57,0,0,9,128.57,9,7
Grams,7/26/2023,Concentrate,273.34,0,0,7.5,273.34,7.5,5
Each,7/30/2023,Infused Beverage,55.53,4,55.53,0,0,4,4
Grams,7/27/2023,Buds,3673.45,0,0,528.5,3673.45,528.5,76
Each,7/27/2023,Infused Beverage,233,14,233,0,0,14,11
Each,7/26/2023,Concentrate (Each),60,1,60,0,0,1,1
Each,7/27/2023,Vape Product,4242,128,4242,0,0,128,114
Grams,7/27/2023,Infused Pre-Rolls,293,0,0,13.5,293,13.5,15
Grams,7/24/2023,Raw Pre-Rolls,4428.8,0,0,425,4428.8,425,253
Each,7/30/2023,Infused Beverage,197,91,197,0,0,91,14
Grams,7/26/2023,Raw Pre-Rolls,755,0,0,67.25,755,67.25,39
Grams,7/26/2023,Raw Pre-Rolls,2790.55,0,0,204.4,2790.55,204.4,106
Grams,7/26/2023,Raw Pre-Rolls,584.5,0,0,55.5,584.5,55.5,31
Grams,7/30/2023,Buds,196,0,0,35,196,35,3
Grams,7/25/2023,Kief,45,0,0,2,45,2,1
Each,7/27/2023,Vape Product,2419.58,105,2419.58,0,0,105,97
Grams,7/27/2023,Buds,8982,0,0,2327.5,8982,2327.5,147
Grams,7/30/2023,Raw Pre-Rolls,385.31,0,0,33.5,385.31,33.5,24
Grams,7/28/2023,Shake/Trim (by strain),435,0,0,77,435,77,11
