SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
2/8/2022,Grams,Shake/Trim (by strain),5644.65,0,0,986.5,5644.65,986.5,125
11/25/2020,Each,Infused (edible),213824.53,7405,213824.53,0,0,7405,4944
1/28/2021,Grams,Raw Pre-Rolls,87144.69,0,0,7647.1,87144.69,7647.1,4069
2/12/2021,Each,Infused (non-edible),10350.68,393,10350.68,0,0,393,290
5/5/2019,Grams,Kief,240.5,0,0,11,240.5,11,10
3/5/2022,Grams,Kief,867.32,0,0,38,867.32,38,28
1/16/2020,Grams,Infused Pre-Rolls,1759.98,0,0,82.75,1759.98,82.75,78
12/19/2022,Each,Vape Product,135737.09,4754,135737.09,0,0,4754,3615
11/11/2021,Each,Infused (non-edible),7974.12,260,7974.12,0,0,260,191
6/30/2021,Grams,Concentrate,1847.06,0,0,37,1847.06,37,33
6/1/2023,Each,Infused (edible),80559.61,3850,80559.61,0,0,3850,2573
2/18/2022,Grams,Buds,483846.14,0,0,52250.15,483846.14,52250.15,9467
12/19/2019,Each,Concentrate (Each),54500.74,1354,54500.74,0,0,1354,1062
3/8/2020,Each,Concentrate (Each),35767.33,868,35767.33,0,0,868,691
3/10/2022,Grams,Buds,396880.74,0,0,43550.25,396880.74,43550.25,7571
7/12/2020,Each,Infused (edible),76540.61,2693,76540.61,0,0,2693,1783
5/24/2023,Each,Immature Plants,25,1,25,0,0,1,1
6/5/2021,Grams,Shake/Trim (by strain),9938.13,0,0,1867.55,9938.13,1867.55,230
10/7/2019,Grams,Concentrate,6279.74,0,0,123,6279.74,123,101
10/18/2021,Each,Infused (non-edible),4639.72,188,4639.72,0,0,188,94
6/17/2023,Grams,Concentrate (Bulk),385.29,0,0,11,385.29,11,8
11/1/2020,Grams,Shake/Trim (by strain),7352.49,0,0,708.5,7352.49,708.5,232
9/14/2020,Grams,Raw Pre-Rolls,63378.4,0,0,5365.91,63378.4,5365.91,3057
5/27/2019,Grams,Kief,201,0,0,9,201,9,9
4/11/2022,Grams,Concentrate (Bulk),167,0,0,3.5,167,3.5,2
5/20/2023,Grams,Raw Pre-Rolls,78934.54,0,0,10729.75,78934.54,10729.75,5231
4/10/2019,Each,Raw Pre-Rolls,659,33,659,0,0,33,28
12/31/2022,Each,Vape Product,131906.63,4161,131906.63,0,0,4161,3353
3/13/2023,Grams,Infused Pre-Rolls,11422.87,0,0,555.99,11422.87,555.99,495
9/8/2022,Grams,Shake/Trim,501,0,0,84.9,501,84.9,8
2/28/2023,Each,Infused Beverage,3253.8,473,3253.8,0,0,473,176
11/18/2020,Grams,Infused Pre-Rolls,3005.79,0,0,154.02,3005.79,154.02,130
3/25/2020,Each,Vape Product,64126.75,1255,64126.75,0,0,1255,1043
4/18/2020,Grams,Kief,1008.12,0,0,68.63,1008.12,68.63,57
4/5/2020,Each,Infused (edible),72459.93,2356,72459.93,0,0,2356,1545
11/3/2020,Each,Vape Product,141067.86,3157,141067.86,0,0,3157,2546
7/17/2023,Grams,Concentrate (Bulk),42.5,0,0,2,42.5,2,2
5/17/2023,Each,Infused Beverage,6007.07,865,6007.07,0,0,865,362
9/10/2021,Each,Infused (non-edible),6943.38,215,6943.38,0,0,215,178
1/10/2020,Each,Concentrate (Each),69508.16,1675,69508.16,0,0,1675,1357
1/1/2022,Grams,Kief,397.01,0,0,20,397.01,20,17
7/6/2020,Each,Vape Product,107347.56,2281,107347.56,0,0,2281,1833
5/29/2022,Grams,Kief,535.96,0,0,28.5,535.96,28.5,27
3/21/2021,Milligrams,Concentrate,36,0,0,0,36,0,1
12/23/2021,Each,Infused (non-edible),10083.47,323,10083.47,0,0,323,230
5/2/2021,Each,Infused (edible),89620.39,3400,89620.39,0,0,3400,2276
9/14/2020,Each,Concentrate (Each),52791.44,1322,52791.44,0,0,1322,990
