SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice
11/19/2019,Infused (edible),Each,2527,76293.39,0,0,2527,76293.39
12/22/2021,Infused Pre-Rolls,Grams,0,0,503.52,10453.71,503.52,10453.71
5/16/2022,Infused Beverage,Each,543,4268.82,0,0,543,4268.82
4/20/2023,Shake/Trim,Grams,0,0,1078,3117.94,1078,3117.94
1/24/2023,Suppository,Each,3,67.5,0,0,3,67.5
3/10/2023,Shake/Trim,Grams,0,0,723,2874.02,723,2874.02
1/1/2020,Concentrate (Each),Each,803,26215.27,0,0,803,26215.27
11/7/2021,Raw Pre-Rolls,Grams,0,0,7581.1,83583.22,7581.1,83583.22
12/29/2020,Infused (non-edible),Each,173,5192.42,0,0,173,5192.42
5/21/2021,Shake/Trim (by strain),Grams,0,0,1751.25,10580.16,1751.25,10580.16
1/1/2022,Infused (non-edible),Each,62,1718.73,0,0,62,1718.73
3/12/2019,Infused (edible),Each,257,6393.18,0,0,257,6393.18
3/7/2021,Buds,Grams,0,0,32942.35,349393.85,32942.35,349393.85
8/6/2019,Infused (edible),Each,2314,66858.95,0,0,2314,66858.95
7/22/2021,Vape Product,Each,3262,145990.3,0,0,3262,145990.3
11/2/2022,Concentrate (Bulk),Grams,0,0,6,76.41,6,76.41
1/10/2022,Infused (edible),Each,3530,87567.85,0,0,3530,87567.85
12/20/2022,Concentrate (Bulk),Grams,0,0,39,730.5,39,730.5
1/24/2022,Shake/Trim (by strain),Grams,0,0,1425,7491.96,1425,7491.96
7/8/2023,Concentrate (Bulk),Grams,0,0,2,90,2,90
4/22/2022,Infused (edible),Each,4845,108363.47,0,0,4845,108363.47
9/3/2021,Infused (non-edible),Each,274,8042.57,0,0,274,8042.57
6/3/2019,Raw Pre-Rolls,Grams,0,0,2052.5,24316.74,2052.5,24316.74
4/12/2021,Infused (non-edible),Each,129,4521.86,0,0,129,4521.86
5/15/2019,Raw Pre-Rolls,Grams,0,0,1764.47,21440.63,1764.47,21440.63
4/20/2022,Infused Pre-Rolls,Milligrams,0,0,11470,283.53,11470,283.53
2/22/2021,Shake/Trim,Grams,0,0,348,2244,348,2244
11/23/2022,Concentrate,Grams,0,0,186,5398.89,186,5398.89
5/7/2020,Concentrate,Grams,0,0,254.5,13193.65,254.5,13193.65
11/4/2022,Vape Product,Each,4280,135638.6,0,0,4280,135638.6
6/25/2022,Raw Pre-Rolls,Grams,0,0,11176.6,104763.69,11176.6,104763.69
3/25/2020,Infused Pre-Rolls,Grams,0,0,185.74,2798.36,185.74,2798.36
9/14/2022,Infused Beverage,Each,782,6411.67,0,0,782,6411.67
5/16/2020,Buds,Grams,0,0,40392.75,439570.11,40392.75,439570.11
2/18/2020,Concentrate (Each),Each,904,39205.48,0,0,904,39205.48
2/18/2021,Kief,Grams,0,0,45,1085.05,45,1085.05
6/3/2021,Concentrate,Grams,0,0,134,6355.53,134,6355.53
3/8/2023,Kief,Grams,0,0,44,687.51,44,687.51
6/2/2020,Kief,Grams,0,0,69,1210.97,69,1210.97
6/15/2019,Concentrate (Each),Each,2976,136531.76,0,0,2976,136531.76
3/6/2020,Suppository,Each,1,12.75,0,0,1,12.75
3/25/2023,Buds,Grams,0,0,49940.93,306260.15,49940.93,306260.15
9/21/2021,Infused Beverage,Each,635,5243.49,0,0,635,5243.49
11/18/2020,Shake/Trim (by strain),Grams,0,0,275.25,3771.72,275.25,3771.72
8/24/2020,Infused Pre-Rolls,Grams,0,0,153,3268.39,153,3268.39
8/9/2021,Shake/Trim (by strain),Grams,0,0,984.9,5109.6,984.9,5109.6
9/21/2020,Concentrate (Each),Each,1302,54840.36,0,0,1302,54840.36
8/21/2021,Suppository,Each,1,18.41,0,0,1,18.41
2/27/2021,Vape Product,Each,3647,152662.76,0,0,3647,152662.76
7/11/2023,Concentrate (Bulk),Grams,0,0,12,302.5,12,302.5
11/3/2020,Raw Pre-Rolls,Grams,0,0,7878.9,91256.55,7878.9,91256.55
6/10/2019,Concentrate (Each),Each,2299,112891.63,0,0,2299,112891.63
1/3/2022,Buds,Grams,0,0,35039.3,339972.88,35039.3,339972.88
5/12/2021,Shake/Trim (by strain),Grams,0,0,1154.5,7336.94,1154.5,7336.94
10/20/2022,Concentrate (Bulk),Grams,0,0,5,206.25,5,206.25
3/3/2019,Buds,Grams,0,0,1872.41,17213.31,1872.41,17213.31
6/15/2019,Buds,Each,40,1692.4,0,0,40,1692.4
2/29/2020,Concentrate (Each),Each,1824,76126.76,0,0,1824,76126.76
9/8/2020,Infused (edible),Each,3300,102193.14,0,0,3300,102193.14
12/7/2019,Infused Pre-Rolls,Grams,0,0,11.6,239.5,11.6,239.5
8/13/2019,Kief,Grams,0,0,16.5,327,16.5,327
12/7/2022,Concentrate (Bulk),Grams,0,0,312.5,1601.1,312.5,1601.1
10/26/2021,Concentrate,Grams,0,0,15,753.25,15,753.25
11/25/2020,Shake/Trim (by strain),Grams,0,0,657,6556.24,657,6556.24
3/28/2020,Infused Pre-Rolls,Grams,0,0,166.04,3145.08,166.04,3145.08
8/2/2023,Raw Pre-Rolls,Grams,0,0,12610.95,92902.67,12610.95,92902.67
7/31/2021,Shake/Trim (by strain),Grams,0,0,2399.85,11446.33,2399.85,11446.33
5/14/2022,Kief,Grams,0,0,18,397.06,18,397.06
2/27/2023,Vape Product,Each,3715,114508.15,0,0,3715,114508.15
1/17/2020,Concentrate,Grams,0,0,219.75,11162.86,219.75,11162.86
7/27/2019,Buds,Grams,0,0,19803.87,213935.42,19803.87,213935.42
4/3/2022,Concentrate (Bulk),Grams,0,0,1,57.33,1,57.33
4/27/2021,Infused Beverage,Each,658,4819.43,0,0,658,4819.43
5/30/2023,Infused (edible),Each,3536,80186.22,0,0,3544.25,80186.22
7/6/2020,Raw Pre-Rolls,Grams,0,0,5672.18,66488.1,5672.18,66488.1
1/6/2021,Infused (edible),Each,3500,105426.62,0,0,3500,105426.62
1/5/2023,Infused Beverage,Each,882,6355.98,0,0,882,6355.98
7/31/2022,Concentrate,Grams,0,0,35,1360.16,35,1360.16
8/11/2020,Infused Pre-Rolls,Grams,0,0,234.05,4367.81,234.05,4367.81
12/21/2021,Infused (non-edible),Each,254,8065.87,0,0,254,8065.87
7/19/2021,Shake/Trim,Grams,0,0,117,844.8,117,844.8
4/30/2019,Buds,Each,43,1100.12,0,0,43,1100.12
5/31/2022,Buds,Grams,0,0,34393.57,304425.12,34393.57,304425.12
10/26/2022,Infused Pre-Rolls,Milligrams,0,0,6000,154.84,6000,154.84
5/25/2022,Kief,Milligrams,0,0,1000,19.12,1000,19.12
12/18/2020,Infused (non-edible),Each,271,7520.01,0,0,271,7520.01
2/1/2020,Vape Product,Each,1624,78482.41,0,0,1624,78482.41
9/16/2020,Concentrate (Each),Each,1792,72037.72,0,0,1792,72037.72
9/8/2021,Infused (non-edible),Each,161,5050.45,0,0,161,5050.45
1/31/2022,Shake/Trim (by strain),Grams,0,0,1357.5,6460.77,1357.5,6460.77
4/17/2021,Infused (non-edible),Each,205,5700.27,0,0,205,5700.27
12/17/2021,Kief,Grams,0,0,25,532.22,25,532.22
11/17/2022,Shake/Trim,Grams,0,0,395.8,1362.46,395.8,1362.46
1/12/2020,Concentrate (Each),Each,831,35605.12,0,0,831,35605.12
9/17/2020,Kief,Grams,0,0,33,701.86,33,701.86
5/9/2021,Concentrate,Grams,0,0,35.5,1925.47,35.5,1925.47
3/19/2022,Concentrate,Milligrams,0,0,9500,463.78,9500,463.78
1/31/2023,Shake/Trim (by strain),Grams,0,0,1778.6,6426.63,1778.6,6426.63
10/14/2021,Infused Beverage,Each,1138,7910.51,0,0,1138,7910.51
11/3/2021,Concentrate (Bulk),Grams,0,0,5,190.99,5,190.99
10/25/2020,Buds,Grams,0,0,27535.56,299033.55,27535.56,299033.55
3/8/2022,Infused (edible),Each,3852,91680.62,0,0,3852,91680.62
7/31/2021,Vape Product,Each,3288,143958.73,0,0,3288,143958.73
7/2/2023,Buds,Grams,0,0,39369.21,221182.25,39369.21,221182.25
2/15/2023,Shake/Trim,Grams,0,0,203,831.5,203,831.5
1/17/2023,Concentrate,Grams,0,0,42,1522.26,42,1522.26
7/19/2023,Kief,Grams,0,0,22,339.7,22,339.7
11/11/2020,Kief,Grams,0,0,17,355.36,17,355.36
9/26/2022,Vape Product,Each,2708,92341.13,0,0,2708,92341.13
